121 Astronomy	7B Astronomy
161 Spanish	25 Spanish
162 Spanish	100 Spanish
162 Spanish	25 Spanish
163 Spanish	100 Spanish
163 Spanish	25 Spanish
164 Spanish	100 Spanish
164 Spanish	25 Spanish
166 Spanish	25 Spanish
168 Spanish	25 Spanish
179 Spanish	100 Spanish
2 Spanish	1 Spanish
20 Spanish	2 Spanish
25 Spanish	4 Spanish
3 Spanish	2 Spanish
4 Spanish	3 Spanish
N3 Spanish	1 Spanish
N3 Spanish	2 Spanish
N4 Spanish	3 Spanish
135 Statistics	133 Statistics
135 Statistics	134 Statistics
150 Statistics	134 Statistics
151A Statistics	133 Statistics
152 Statistics	133 Statistics
153 Statistics	133 Statistics
153 Statistics	134 Statistics
154 Statistics	135 Statistics
155 Statistics	134 Statistics
157 Statistics	134 Statistics
157 Statistics	135 Statistics
158 Statistics	133 Statistics
158 Statistics	134 Statistics
1B Telugu	1A Telugu
100A Thai	1B Thai
100B Thai	100A Thai
1B Thai	1A Thai
167 Theater Dance & Perf Stds	60 Theater Dance & Perf Stds
168 Theater Dance & Perf Stds	60 Theater Dance & Perf Stds
100A Turkish	1A Turkish
100A Turkish	1B Turkish
100B Turkish	1A Turkish
100B Turkish	1B Turkish
101A Turkish	100A Turkish
101A Turkish	100B Turkish
101B Turkish	100A Turkish
101B Turkish	100B Turkish
156AC Business Admin-Undergrad	10 Business Admin-Undergrad
101A Bengali	1B Bengali
81A UGIS-UG Interdisc Studies	80A UGIS-UG Interdisc Studies
81B UGIS-UG Interdisc Studies	80B UGIS-UG Interdisc Studies
100A Vietnamese	1A Vietnamese
100A Vietnamese	1B Vietnamese
100B Vietnamese	100A Vietnamese
101B Bengali	101A Bengali
101A Vietnamese	100A Vietnamese
101A Vietnamese	100B Vietnamese
101B Vietnamese	101A Vietnamese
1B Vietnamese	1A Vietnamese
1B Bengali	1A Bengali
112 Anthropology	1 Anthropology
116 Bioengineering	102 Bioengineering
1A Biology	1AL Biology
1A Biology	3A Chemistry
1A Biology	3B Chemistry
1AL Biology	1A Biology
85 Celtic Studies	15 Celtic Studies
R1B Celtic Studies	R1A Celtic Studies
104B Chemistry	112A Chemistry
104B Chemistry	3A Chemistry
108 Chemistry	103 Chemistry
112B Chemistry	112A Chemistry
121C Anthropology	121AC Anthropology
125 Chemistry	120A Chemistry
135 Chemistry	3B Chemistry
15 Chemistry	1A Chemistry
1B Chemistry	1A Chemistry
301B Chemistry	1A Chemistry
3A Chemistry	1A Chemistry
3AL Chemistry	1A Chemistry
3AL Chemistry	3A Chemistry
3B Chemistry	3A Chemistry
3BL Chemistry	3B Chemistry
C130 Chemistry	112A Chemistry
C130 Chemistry	3A Chemistry
C182 Chemistry	C130 Chemistry
N3AL Chemistry	1A Chemistry
150B Chicano Studies	50 Chicano Studies
10 Chinese	1B Chinese
10A Chinese	1B Chinese
10B Chinese	1B Chinese
153 Chinese	100A Chinese
155 Chinese	100A Chinese
156 Chinese	100A Chinese
158 Chinese	100A Chinese
161 Chinese	100A Chinese
141 Chemical Engineering	140 Chemical Engineering
150A Chemical Engineering	140 Chemical Engineering
150B Chemical Engineering	150A Chemical Engineering
154 Chemical Engineering	141 Chemical Engineering
101 Civil & Environmental Eng	100 Civil & Environmental Eng
105 Civil & Environmental Eng	100 Civil & Environmental Eng
173 Civil & Environmental Eng	100 Civil & Environmental Eng
175 Civil & Environmental Eng	100 Civil & Environmental Eng
C131 Cognitive Science	C1 Cognitive Science
10B College Writing Programs	10A College Writing Programs
10 Computer Science	61A Computer Science
160 Computer Science	61B Computer Science
161 Computer Science	61C Computer Science
184 Computer Science	61B Computer Science
188 Computer Science	61B Computer Science
47A Computer Science	61B Computer Science
61B Computer Science	61A Computer Science
61BL Computer Science	61A Computer Science
61C Computer Science	61A Computer Science
61C Computer Science	61B Computer Science
61CL Computer Science	61A Computer Science
61CL Computer Science	61B Computer Science
121 African American Studies	117 African American Studies
9G Computer Science	9C Computer Science
111 City & Regional Planning	110 City & Regional Planning
116 City & Regional Planning	110 City & Regional Planning
110 Dutch	2 Dutch
125 Dutch	110 Dutch
2 Dutch	1 Dutch
100A Economics	1 Economics
100B Economics	1 Economics
101A Economics	1 Economics
101B Economics	1 Economics
113 Economics	1 Economics
115 Economics	1 Economics
119 Economics	100A Economics
121 Economics	100A Economics
131 Economics	100A Economics
136 Economics	100A Economics
138 Economics	100A Economics
140 Economics	100A Economics
141 Economics	100A Economics
151 Economics	100A Economics
152 Economics	100A Economics
153 Economics	140 Economics
154 Economics	140 Economics
155 Economics	100A Economics
157 Economics	100A Economics
161 Economics	100A Economics
162 Economics	100A Economics
172 Economics	100A Economics
174 Economics	100A Economics
182 Economics	100A Economics
191 Economics	100A Economics
240A Economics	100A Economics
C142 Economics	140 Economics
C175 Economics	1 Economics
C181 Economics	100A Economics
N113 Economics	1 Economics
N136 Economics	100A Economics
N171 Economics	100A Economics
N181 Economics	100A Economics
N181 Economics	100B Economics
131 Education	130 Education
190B Education	190 Education
105 Electrical Engineering	40 Electrical Engineering
113 Electrical Engineering	105 Electrical Engineering
130 Electrical Engineering	100 Electrical Engineering
134 Electrical Engineering	100 Electrical Engineering
137A Electrical Engineering	100 Electrical Engineering
140 Electrical Engineering	105 Electrical Engineering
C149 Electrical Engineering	20 Electrical Engineering
128 Engineering	45 Engineering
177 Engineering	7 Engineering
106 Environmental Design	102 Environmental Design
10L Environmental Sciences	10 Environmental Sciences
125 Environmental Sciences	10 Environmental Sciences
100 Environ Econ & Policy	C1 Environ Econ & Policy
103 Earth & Planetary Science	C82 Earth & Planetary Science
100A Filipino	1A Filipino
100A Filipino	1B Filipino
100B Filipino	1A Filipino
100B Filipino	1B Filipino
101A Filipino	100A Filipino
101A Filipino	100B Filipino
101B Filipino	100A Filipino
101B Filipino	100B Filipino
100 Film	25A Film
128 Film	25A Film
129 Film	25A Film
25B Film	25A Film
26 Film	25A Film
C187 Film	100 Film
102 French	4 French
13 French	2 French
14 French	13 French
14 French	3 French
177B French	170 French
2 French	1 French
3 French	2 French
35 French	3 French
4 French	3 French
2 German	1 German
3 German	2 German
4 German	3 German
100 Greek	10 Greek
100 Greek	15 Greek
100 Greek	2 Greek
101 Greek	1 Greek
101 Greek	10 Greek
101 Greek	15 Greek
101 Greek	2 Greek
102 Greek	100 Greek
2 Greek	1 Greek
40 Greek	10 Greek
40 Greek	15 Greek
40 Greek	2 Greek
195 Gender & Womens Studies	101 Gender & Womens Studies
100A Hebrew	20A Hebrew
100A Hebrew	20B Hebrew
104A Hebrew	100A Hebrew
104B Hebrew	100A Hebrew
20A Hebrew	1A Hebrew
20A Hebrew	1B Hebrew
20B Hebrew	1A Hebrew
20B Hebrew	1B Hebrew
C175 International & Area Stds	106 International & Area Stds
C175 International & Area Stds	107 International & Area Stds
150 Industrial Eng & Ops Rsch	162 Industrial Eng & Ops Rsch
100A Arabic	20B Arabic
180 Industrial Eng & Ops Rsch	162 Industrial Eng & Ops Rsch
100B Arabic	100A Arabic
107 Arabic	20B Arabic
108 Arabic	20B Arabic
111A Arabic	100A Arabic
111B Arabic	100A Arabic
101A Italian Studies	4 Italian Studies
101B Italian Studies	4 Italian Studies
12 Italian Studies	3 Italian Studies
2 Italian Studies	1 Italian Studies
1B Arabic	1A Arabic
3 Italian Studies	2 Italian Studies
4 Italian Studies	3 Italian Studies
R5B Italian Studies	R5A Italian Studies
10 Japanese	1B Japanese
100A Japanese	10B Japanese
101 Japanese	100B Japanese
102 Japanese	100B Japanese
20A Arabic	1B Arabic
103 Japanese	100B Japanese
104 Japanese	100B Japanese
10A Japanese	1B Japanese
10B Japanese	1B Japanese
111 Japanese	103 Japanese
130 Japanese	120 Japanese
132 Japanese	120 Japanese
140 Japanese	120 Japanese
144 Japanese	120 Japanese
20B Arabic	20A Arabic
146 Japanese	120 Japanese
155 Japanese	100B Japanese
159 Japanese	100B Japanese
161 Japanese	100B Japanese
163 Japanese	100B Japanese
1BS Japanese	1AS Japanese
1B Khmer	1A Khmer
10 Korean	1B Korean
100AX Korean	10BX Korean
100B Korean	10B Korean
10A Korean	1B Korean
10B Korean	1B Korean
10BX Korean	10AX Korean
111 Korean	101 Korean
112 Korean	101 Korean
112 Korean	102 Korean
1B Korean	1A Korean
100 Latin	10 Latin
100 Latin	15 Latin
100 Latin	2 Latin
101 Latin	100 Latin
102 Latin	100 Latin
116 Latin	101 Latin
116 Latin	102 Latin
120 Latin	100 Latin
120 Latin	101 Latin
120 Latin	102 Latin
122 Latin	100 Latin
122 Latin	101 Latin
122 Latin	102 Latin
100C Architecture	100B Architecture
2 Latin	1 Latin
40 Latin	10 Latin
40 Latin	15 Latin
40 Latin	2 Latin
103 Landscape Arch & Env Plan	102 Landscape Arch & Env Plan
110L Landscape Arch & Env Plan	110 Landscape Arch & Env Plan
100D Architecture	100B Architecture
110 Linguistics	100 Linguistics
113 Linguistics	110 Linguistics
115 Linguistics	100 Linguistics
120 Linguistics	100 Linguistics
121 Linguistics	120 Linguistics
122 Linguistics	100 Linguistics
123 Linguistics	100 Linguistics
124 Linguistics	100 Linguistics
108 Architecture	100B Architecture
128 Linguistics	100 Linguistics
130 Linguistics	100 Linguistics
140 Linguistics	110 Linguistics
140 Linguistics	115 Linguistics
150 Linguistics	100 Linguistics
181 Linguistics	120 Linguistics
1B Linguistics	1A Linguistics
C147 Linguistics	100 Linguistics
C160 Linguistics	100 Linguistics
103 Materials Science & Eng	102 Materials Science & Eng
104 Materials Science & Eng	102 Materials Science & Eng
140 Materials Science & Eng	102 Materials Science & Eng
104 Mathematics	53 Mathematics
104 Mathematics	54 Mathematics
110 Mathematics	54 Mathematics
113 Mathematics	54 Mathematics
114 Mathematics	110 Mathematics
114 Mathematics	113 Mathematics
115 Mathematics	53 Mathematics
115 Mathematics	54 Mathematics
116 Mathematics	55 Mathematics
118 Mathematics	53 Mathematics
118 Mathematics	54 Mathematics
121A Mathematics	53 Mathematics
121A Mathematics	54 Mathematics
149 Architecture	140 Architecture
